category_code,subcategory_code,topic_full,unique_authors,avg_authors_per_paper,total_papers
30,N/A,"30 Agricultural, Veterinary and Food Sciences",1131,11.87335092348285,271
30,3009,3009 Veterinary Sciences,294,7.478802992518704,79
30,3001,3001 Agricultural Biotechnology,194,26.169550173010382,26
30,3005,3005 Fisheries Sciences,167,6.413793103448276,49
30,3006,3006 Food Sciences,112,5.76510067114094,31
30,3007,3007 Forestry Sciences,99,27.98181818181818,14
30,3004,3004 Crop and Pasture Production,80,5.814814814814815,21
30,3008,3008 Horticultural Production,50,6.114754098360656,13
30,3002,"3002 Agriculture, Land and Farm Management",45,5.678571428571429,11
30,3003,3003 Animal Production,30,7.2631578947368425,7
31,N/A,31 Biological Sciences,18830,48.26579142927917,3650
31,3101,3101 Biochemistry and Cell Biology,9370,81.19425901201602,1732
31,3105,3105 Genetics,3242,32.41630063445583,445
31,3107,3107 Microbiology,2124,13.60219422998781,401
31,3102,3102 Bioinformatics and Computational Biology,1810,35.728186386477844,264
31,3103,3103 Ecology,1669,10.185805815672746,397
31,3109,3109 Zoology,589,9.276923076923078,147
31,3106,3106 Industrial Biotechnology,391,7.676348547717843,90
31,3108,3108 Plant Biology,319,9.233695652173912,69
31,3104,3104 Evolutionary Biology,310,8.549707602339181,70
32,N/A,32 Biomedical and Clinical Sciences,30766,30.34059504839822,5283
32,3202,3202 Clinical Sciences,10233,30.12659629438252,1591
32,3211,3211 Oncology and Carcinogenesis,9306,22.0365587926721,1359
32,3204,3204 Immunology,4594,42.05809267965077,577
32,3207,3207 Medical Microbiology,3422,47.882988298829886,478
32,3209,3209 Neurosciences,2288,14.667569397427217,410
32,3214,3214 Pharmacology and Pharmaceutical Sciences,1441,8.48820754716981,288
32,3201,3201 Cardiovascular Medicine and Haematology,1331,18.81728123280132,187
32,3206,3206 Medical Biotechnology,1126,8.8234375,197
32,3208,3208 Medical Physiology,1086,9.361247947454844,187
32,3215,3215 Reproductive Medicine,703,14.243619489559165,141
32,3212,3212 Ophthalmology and Optometry,671,12.867132867132867,140
32,3210,3210 Nutrition and Dietetics,596,277.71846619576183,51
32,3205,3205 Medical Biochemistry and Metabolomics,381,9.65083135391924,64
32,3203,3203 Dentistry,287,6.259445843828716,84
32,3213,3213 Paediatrics,226,16.725085910652922,37
33,N/A,33 Built Environment and Design,370,7.046082949308755,108
33,3303,3303 Design,118,10.268292682926829,22
33,3301,3301 Architecture,106,6.178294573643411,36
33,3302,3302 Building,77,4.276190476190476,30
33,3304,3304 Urban and Regional Planning,50,9.384615384615385,8
34,N/A,34 Chemical Sciences,16748,6.505125051250513,5269
34,3406,3406 Physical Chemistry,5846,5.9316970373125075,1880
34,3403,3403 Macromolecular and Materials Chemistry,4717,6.791764521684672,1275
34,3402,3402 Inorganic Chemistry,2754,5.723427935447969,828
34,3405,3405 Organic Chemistry,1425,6.065564738292011,406
34,3407,3407 Theoretical and Computational Chemistry,1353,5.360067302299496,488
34,3404,3404 Medicinal and Biomolecular Chemistry,1278,9.992366412213741,210
34,3401,3401 Analytical Chemistry,1271,6.564590163934426,321
35,N/A,"35 Commerce, Management, Tourism and Services",372,3.6502057613168724,178
35,3509,"3509 Transportation, Logistics and Supply Chains",187,3.16260162601626,98
35,3507,"3507 Strategy, Management and Organisational Behaviour",68,3.8421052631578947,35
35,3505,3505 Human Resources and Industrial Relations,46,5.7,15
35,3502,"3502 Banking, Finance and Investment",20,3.5833333333333335,9
35,3506,3506 Marketing,10,3.8,3
35,3503,3503 Business Systems In Context,9,2.111111111111111,5
35,3501,"3501 Accounting, Auditing and Accountability",4,4.0,1
35,3504,3504 Commercial Services,3,3.0,1
35,3508,3508 Tourism,3,3.0,2
36,N/A,36 Creative Arts and Writing,49,3.305084745762712,23
36,3605,3605 Screen and Digital Media,25,3.0,11
36,3601,"3601 Art History, Theory and Criticism",8,3.2222222222222223,3
36,3603,3603 Music,8,5.166666666666667,3
36,3604,3604 Performing Arts,3,2.5,2
37,N/A,37 Earth Sciences,4319,6.903393351800554,1388
37,3701,3701 Atmospheric Sciences,2234,7.523924268502582,634
37,3708,3708 Oceanography,1149,7.283163265306122,400
37,3705,3705 Geology,642,5.712258064516129,194
37,3709,3709 Physical Geography and Environmental Geoscience,626,5.538265306122449,220
37,3707,3707 Hydrology,387,6.090146750524109,110
37,3706,3706 Geophysics,371,5.518159806295399,107
