ID,Category,Author with search,Author only,author_id,Name,Multimodal latent perceptual loss for high-resolution image synthesis,Trade-off between representation diversity and realism in generative models,How artificial intelligence creates original images from text descriptions,Military deception strategy,Military deception principles,Military deception techniques,Deceptive autonomous agents,Machine learning of deceptive strategies,Detecting deceptive machine behavior,Deep-sea bioluminescence and hydrothermal sensors,Structural integrity of high-tensile steel in bridges,Spectroscopic biosignatures in M-dwarf atmospheres
1,AI,https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=(%22machine%20learning%22%20OR%20%22deep%20learning%22)%20AND%20(%22target%20recogni*%22%20OR%20%22sensor%20fusion%22%20OR%20%22ISR%22)%20AND%20(%22defense%22%20OR%20%22national%20security%22)%0A&search_type=kws&search_field=full_search&and_facet_researcher=ur.012313314741.93,https://dtic.dimensions.ai/discover/publication?search_mode=content&and_facet_researcher=ur.012313314741.93,ur.012313314741.93,Swapnil Sayan Saha,2,2.4,2.4,1,1,1,1.8,2,1.6,1.2,1.2,1.2
2,AI,https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=(%22machine%20learning%22%20OR%20%22deep%20learning%22)%20AND%20(%22target%20recogni*%22%20OR%20%22sensor%20fusion%22%20OR%20%22ISR%22)%20AND%20(%22defense%22%20OR%20%22national%20security%22)%0A&search_type=kws&search_field=full_search&and_facet_researcher=ur.015064057315.18,https://dtic.dimensions.ai/discover/publication?search_mode=content&and_facet_researcher=ur.015064057315.18,ur.015064057315.18,Andrew-Hieu Nguyen,3,2.6,3,1,1,1.4,1.4,1.2,1.4,2,1.4,1.6
3,AI,https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=(%22machine%20learning%22%20OR%20%22deep%20learning%22)%20AND%20(%22defense%22%20OR%20%22military%22)%20AND%20(%22decision%20support%22%20OR%20%22command%20and%20control%22%20OR%20%22situational%20awareness%22)&search_type=kws&search_field=full_search&and_facet_researcher=ur.015627215165.71,https://dtic.dimensions.ai/discover/publication?search_mode=content&and_facet_researcher=ur.015627215165.71,ur.015627215165.71,Sue E Kase,2.4,2.4,2.4,1,1,1.4,1.8,2.2,2.4,1,1,1
4,AI,https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=(%22machine%20learning%22%20OR%20%22deep%20learning%22)%20AND%20(%22defense%22%20OR%20%22military%22)%20AND%20(%22decision%20support%22%20OR%20%22command%20and%20control%22%20OR%20%22situational%20awareness%22)&search_type=kws&search_field=full_search&and_facet_researcher=ur.016406327051.56,https://dtic.dimensions.ai/discover/publication?search_mode=content&and_facet_researcher=ur.016406327051.56,ur.016406327051.56,Desta Haileselassie Hagos,3,2.6,2.2,2,2,2,3.2,2.8,2,1.2,1,1
5,AI,https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=(%22machine%20learning%22%20OR%20%22deep%20learning%22)%20AND%20(%22target%20recogni*%22%20OR%20%22sensor%20fusion%22%20OR%20%22ISR%22)%20AND%20(%22defense%22%20OR%20%22national%20security%22)%0A&search_type=kws&search_field=full_search&and_facet_researcher=ur.014452423664.19,https://dtic.dimensions.ai/discover/publication?search_mode=content&and_facet_researcher=ur.014452423664.19,ur.014452423664.19,Jiahao Wu,3,2.8,2.2,1,1,1,2,1.4,1.6,1.4,1.6,1.2
6,MilDec & AI,https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=(%22spoofing%22%20OR%20%22signature%20management%22%20OR%20%22electromagnetic%20deception%22)%20AND%20(%22machine%20learning%22%20OR%20%22deep%20learning%22%20OR%20%22neural%20network*%22)%20AND%20(%22defense%22%20OR%20%22military%22)&search_type=kws&search_field=full_search&and_facet_researcher=ur.012372653735.21,https://dtic.dimensions.ai/discover/publication?search_mode=content&and_facet_researcher=ur.012372653735.21,ur.012372653735.21,Yongsheng Shi,1.4,1.4,1.4,1.8,1.6,2,2.4,3,2.8,1.4,1,1
7,MilDec & AI,https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=(%22spoofing%22%20OR%20%22signature%20management%22%20OR%20%22electromagnetic%20deception%22)%20AND%20(%22machine%20learning%22%20OR%20%22deep%20learning%22%20OR%20%22neural%20network*%22)%20AND%20(%22defense%22%20OR%20%22military%22)&search_type=kws&search_field=full_search&and_facet_researcher=ur.013062772232.30,https://dtic.dimensions.ai/discover/publication?search_mode=content&and_facet_researcher=ur.013062772232.30,ur.013062772232.30,Zhiyuan Cheng,2.2,2.4,2,1,1,1,1.4,1.4,1.4,1,1,1.2
8,MilDec & AI,https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=(%22counter-deception%22%20OR%20%22deception%20detection%22)%20AND%20(%22artificial%20intelligence%22%20OR%20%22machine%20learning%22)%20AND%20(%22military%22%20OR%20%22warfighting%22%20OR%20%22national%20security%22)&search_type=kws&search_field=full_search&and_facet_researcher=ur.01213120542.58,https://dtic.dimensions.ai/discover/publication?search_mode=content&and_facet_researcher=ur.01213120542.58,ur.01213120542.58,Tian Lan,2,2.2,1.6,2.2,2.4,2.2,3.6,4.4,4,1,1,1
9,MilDec & AI,https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=(%22spoofing%22%20OR%20%22signature%20management%22%20OR%20%22electromagnetic%20deception%22)%20AND%20(%22machine%20learning%22%20OR%20%22deep%20learning%22%20OR%20%22neural%20network*%22)%20AND%20(%22defense%22%20OR%20%22military%22)&search_type=kws&search_field=full_search&and_facet_researcher=ur.014541512746.21,https://dtic.dimensions.ai/discover/publication?search_mode=content&and_facet_researcher=ur.014541512746.21,ur.014541512746.21,Vinicius D Do Nascimento,2,2.2,1.6,1,1.2,1.2,1.4,1.2,1.2,1.2,1,1
10,MilDec & AI,https://dtic.dimensions.ai/discover/publication?search_mode=content&search_text=(%22counter-deception%22%20OR%20%22deception%20detection%22)%20AND%20(%22artificial%20intelligence%22%20OR%20%22machine%20learning%22)%20AND%20(%22military%22%20OR%20%22warfighting%22%20OR%20%22national%20security%22)&search_type=kws&search_field=full_search&and_facet_researcher=ur.01033404537.13,https://dtic.dimensions.ai/discover/publication?search_mode=content&and_facet_researcher=ur.01033404537.13,ur.01033404537.13,Erin K Chiou,1.8,2,2,1.2,1.2,1.2,2.2,1.2,1.4,1,1,1
