model_id,max_seq_length,embedding_dim,size_gb,size_str,downloads,likes,pipeline_tag,description
BAAI/bge-m3,8192,1024.0,4.272272255271673,4.27 GB,18569270,2790,sentence-similarity,Pipeline: sentence-similarity
nomic-ai/nomic-embed-text-v1.5,8192,,2.063105951063335,2.06 GB,5656207,778,sentence-similarity,Pipeline: sentence-similarity
jinaai/jina-embeddings-v3,8194,1024.0,5.3526535257697105,5.35 GB,5138228,1133,feature-extraction,Pipeline: feature-extraction
Qwen/Qwen3-Embedding-0.6B,32768,1024.0,1.124561802484095,1.12 GB,4378898,894,feature-extraction,Pipeline: feature-extraction
BAAI/bge-reranker-v2-m3,8194,1024.0,2.136051178909838,2.14 GB,3951419,901,text-classification,Pipeline: text-classification
nomic-ai/nomic-embed-text-v1,8192,,1.6585255321115255,1.66 GB,3189115,556,sentence-similarity,Pipeline: sentence-similarity
Qwen/Qwen3-Embedding-8B,40960,4096.0,14.110073240473866,14.11 GB,1881984,594,feature-extraction,Pipeline: feature-extraction
Alibaba-NLP/gte-large-en-v1.5,8192,1024.0,5.999591608531773,6.00 GB,1662858,234,sentence-similarity,Pipeline: sentence-similarity
Alibaba-NLP/gte-multilingual-base,8192,768.0,0.5863966578617692,600 MB,1151651,345,sentence-similarity,Pipeline: sentence-similarity
ibm-granite/granite-embedding-small-english-r2,8192,384.0,0.18094358127564192,185 MB,1120765,63,feature-extraction,Pipeline: feature-extraction
Snowflake/snowflake-arctic-embed-l-v2.0,8194,1024.0,9.85619883891195,9.86 GB,1108049,232,sentence-similarity,Pipeline: sentence-similarity
jinaai/jina-embeddings-v2-base-de,8192,768.0,1.6499147061258554,1.65 GB,955670,82,feature-extraction,Pipeline: feature-extraction
cointegrated/rubert-tiny2,2048,312.0,0.2224618112668395,228 MB,804537,160,sentence-similarity,Pipeline: sentence-similarity
Qwen/Qwen3-Embedding-4B,40960,2560.0,7.506014755927026,7.51 GB,761645,226,feature-extraction,Pipeline: feature-extraction
jinaai/jina-embeddings-v2-small-en,8192,512.0,0.48710744362324476,499 MB,743864,141,feature-extraction,Pipeline: feature-extraction
Alibaba-NLP/gte-reranker-modernbert-base,8192,768.0,2.36136341560632,2.36 GB,600018,86,text-ranking,Pipeline: text-ranking
Salesforce/SFR-Embedding-2_R,4096,4096.0,13.246874971315265,13.25 GB,575746,94,feature-extraction,Pipeline: feature-extraction
freelawproject/modernbert-embed-base_finetune_512,8192,768.0,0.5585333602502942,572 MB,570324,5,sentence-similarity,Pipeline: sentence-similarity
Alibaba-NLP/gte-Qwen2-1.5B-instruct,32768,1536.0,6.627845932729542,6.63 GB,552019,229,sentence-similarity,Pipeline: sentence-similarity
jinaai/jina-reranker-v2-base-multilingual,1026,768.0,4.931494292803109,4.93 GB,457371,344,text-ranking,Pipeline: text-ranking
BAAI/bge-multilingual-gemma2,8192,3584.0,34.4491206035018,34.45 GB,390077,196,feature-extraction,Pipeline: feature-extraction
OrcaDB/gte-base-en-v1.5,8192,768.0,0.5105018019676208,523 MB,372492,0,sentence-similarity,Pipeline: sentence-similarity
mixedbread-ai/mxbai-edge-colbert-v0-17m,7999,256.0,0.1459106095135212,149 MB,362895,34,sentence-similarity,Pipeline: sentence-similarity
Alibaba-NLP/gte-base-en-v1.5,8192,768.0,2.0135788982734084,2.01 GB,358827,69,sentence-similarity,Pipeline: sentence-similarity
dangvantuan/vietnamese-document-embedding,8192,768.0,1.1535822711884975,1.15 GB,338186,27,sentence-similarity,Pipeline: sentence-similarity
nomic-ai/modernbert-embed-base,8192,768.0,2.35523185133934,2.36 GB,323761,226,sentence-similarity,Pipeline: sentence-similarity
Alibaba-NLP/gte-multilingual-reranker-base,8192,768.0,0.5860507702454925,600 MB,245214,173,text-ranking,Pipeline: text-ranking
jinaai/jina-embeddings-v4,128000,2048.0,7.344308270141482,7.34 GB,239808,480,visual-document-retrieval,Pipeline: visual-document-retrieval
jinaai/jina-embeddings-v2-base-code,8192,768.0,1.6510493149980903,1.65 GB,237400,135,feature-extraction,Pipeline: feature-extraction
